data/circles/circles_sep_factor_0.4_100.csv,x,y,label
0,1.0993428306022466,-0.027652860234236933,0
1,1.1216524089346165,0.42993920484590936,0
2,0.9217524861839639,0.2018624957750187,0
3,1.2456190489897296,0.5216114985152598,0
4,0.7824118028568732,0.5902656828189082,0
5,0.716333455812455,0.49463930157842173,0
6,0.7773610817346184,0.30189105699712915,0
7,0.29244042324608305,0.6580557369275947,0
8,0.3332605709121118,0.9071773920210698,0
9,0.24417447646083046,0.6223663121989613,0
10,0.6021467481592583,0.9059012561978463,0
11,0.2008869555233093,0.6973376134859974,0
12,-0.04608602537572323,1.0202112463702449,0
13,-0.292989235013774,1.0731663320974059,0
14,-0.3075090525694858,0.9239485007700332,0
15,-0.4293583168208269,1.3215121531969412,0
16,-0.4284787365126595,0.6932848666748394,0
17,-0.37131781255835905,0.6001591955078105,0
18,-0.5956512707477386,0.37857921799983413,0
19,-0.9946058372010977,0.7239193531025132,0
20,-0.6613236783758653,0.6220589085304673,0
21,-0.8994363365215117,0.42153293498385747,0
22,-1.2254808839617368,0.22415571100573603,0
23,-1.0607109153205885,0.46011433240863797,0
24,-0.9233910434007856,-0.2272747975082427,0
25,-0.935183206121041,-0.07701645608326363,0
26,-1.1274991013756697,-0.002997975796130703,0
27,-0.7623832566294408,-0.0624338633416153,0
28,-1.097619990532779,-0.42996702785492125,0
29,-0.8100539937631507,-0.28664464867724354,0
30,-0.9048518419440053,-0.6249170476252368,0
31,-0.9502356222226171,-0.9237884307448229,0
32,-0.4749188252698499,-0.4992652370616248,0
33,-0.5502288192950631,-0.6436213459236104,0
34,-0.35345208655554533,-1.0338510033870447,0
35,-0.2367378732732648,-0.6434492030019596,0
36,-0.19454652240771494,-0.6693585195658874,0
37,-0.5867395403472622,-0.8336462275532268,0
38,0.08019993317694796,-1.057828198521445,0
39,0.2057334698928256,-1.3798010336488673,0
40,0.2650826168074448,-0.8796340019928044,0
41,0.7213581005133758,-1.008481096120749,0
42,0.3741280744003592,-0.9446793342189223,0
43,0.8205044132891048,-0.7047630208438521,0
44,0.6230165866680041,-0.581893619306017,0
45,0.8284325042445558,-0.39405625418589474,0
46,0.7358960612683931,-0.5472861034212689,0
47,0.85135485526182,-0.6608275423111016,0
48,1.0278072165415464,-0.19647883272887662,0
49,0.9931373926429701,-0.17225066023933316,0
50,0.11692585158991714,-0.08412906455307181,1
51,0.3283029772204373,-0.1103221604186021,1
52,0.3551761221182506,0.1802861262288496,1
53,0.7491477745974067,0.182165383640239,1
54,0.40203275016209833,0.17781228648745268,1
55,-0.060147445309829295,0.2298113258271459,1
56,0.30363349295676995,0.7664672648685328,1
57,0.21649740294325137,0.3685147655770382,1
58,0.20738836405054997,0.10399556267689963,1
59,0.39887627952903315,0.5123174275237626,1
60,0.2818131871585884,0.19854511555911364,1
61,0.35551138802150967,0.11254468773301934,1
62,0.14248762657177938,0.8373018165333044,1
63,-0.22322347283786304,0.2859511454507543,1
64,-0.055022252816761694,0.29221976946823564,1
65,-0.43373948396320555,0.3941352014792669,1
66,-0.38277245937125004,0.45664930711344415,1
67,-0.3982155648383594,0.6477180512043139,1
68,-0.41162025436672334,0.24379299386918063,1
69,-0.12888400749463075,0.027645979084684358,1
70,-0.27811481082915307,0.49654265177347495,1
71,-0.6720193189297909,0.22962824134714693,1
72,-0.3199340355056159,0.3036143954293332,1
73,-0.6348234066270688,-0.16461536775091332,1
74,-0.29245756740241163,0.10953022807235885,1
75,-0.34990142993082474,0.06928964189939502,1
76,-0.5328508248414894,-0.0036825539935210067,1
77,-0.3288187697917162,-0.24234623847121559,1
78,0.0012443078736508184,-0.052483236891513824,1
79,-0.5887833714580751,-0.06139074791392021,1
80,-0.5185431317954432,-0.07769718016849894,1
81,-0.059868335167083814,-0.43795530604181765,1
82,-0.06229437005061145,-0.22564911172301608,1
83,-0.04991868599270052,0.0416274263299834,1
84,-0.21938933982660297,-0.5126780538579059,1
85,-0.3015096836750837,-0.5435846635111491,1
86,-0.0903728677171107,-0.32468450532814674,1
87,0.03022195205427853,-0.2337740415641039,1
88,0.027716586187306894,-0.10850387593984528,1
89,0.022021159186698842,0.1511189330264483,1
90,0.24874026730298016,-0.551854117801318,1
91,-0.0438667829861934,-0.26543633793777077,1
92,0.16963816092642853,-0.1949310713823876,1
93,0.34961712081418495,-0.32277107964169016,1
94,0.12222870735488375,-0.5767882873086483,1
95,0.2343038073365749,-0.06383434205229455,1
96,0.39334142084358625,-0.44184922538308374,1
97,0.406546779525537,-0.0701863451281038,1
98,0.21066177721122586,-0.06873093367683622,1
99,0.40848762421499113,-0.27872735299184614,1
